ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,snippet,sentiment
2016-09-02,,,,,,,,,,,,,,,,,,,Residents in South Korea were concerned about their personal devices as well as the image of the company after Samsung recalled more than 2.5 million phones Friday.,"{'label': 'NEGATIVE', 'score': 0.9880883097648621}"
2016-09-07,,,,,,,,,,,,,,,,,,,"Apple announced the release of its newest smartphone, the iPhone 7. The new model replaces its headphone jack with  a Lightning connector and includes an improved camera.","{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-01-02,42.69270513153076,35.591953325770106,54.63220947650464,42.69270513153076,42.69270513153076,2.817635979906941,2.817635979906941,2.817635979906941,0.7198862168449927,0.7198862168449927,0.7198862168449927,2.0977497630619486,2.0977497630619486,2.0977497630619486,0.0,0.0,0.0,45.5103411114377,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-01-03,42.73727352410079,36.3441229502122,55.191667333424384,42.73727352410079,42.73727352410079,2.458466883592032,2.458466883592032,2.458466883592032,0.6663410059538469,0.6663410059538469,0.6663410059538469,1.7921258776381856,1.7921258776381856,1.7921258776381856,0.0,0.0,0.0,45.19574040769282,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-01-04,42.78184191667081,34.74716745611028,54.150203025972175,42.78184191667081,42.78184191667081,2.123060169432454,2.123060169432454,2.123060169432454,0.6310581140052399,0.6310581140052399,0.6310581140052399,1.4920020554272142,1.4920020554272142,1.4920020554272142,0.0,0.0,0.0,44.90490208610326,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-01-07,42.91554709438087,35.83536023582884,54.108912829278175,42.91554709438087,42.91554709438087,1.4785840351572026,1.4785840351572026,1.4785840351572026,0.8119409621063299,0.8119409621063299,0.8119409621063299,0.6666430730508726,0.6666430730508726,0.6666430730508726,0.0,0.0,0.0,44.39413112953808,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-01-08,42.96011548695089,35.17409333905492,53.80264642129528,42.96011548695089,42.96011548695089,1.078892021245197,1.078892021245197,1.078892021245197,0.6485543575532722,0.6485543575532722,0.6485543575532722,0.4303376636919248,0.4303376636919248,0.4303376636919248,0.0,0.0,0.0,44.039007508196086,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-01-09,43.00468387952091,34.91878515354879,53.39685925791967,43.00468387952091,43.00468387952091,0.9398351721152114,0.9398351721152114,0.9398351721152114,0.7198862168449277,0.7198862168449277,0.7198862168449277,0.2199489552702838,0.2199489552702838,0.2199489552702838,0.0,0.0,0.0,43.94451905163612,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-01-10,43.04925227209094,34.33630551280119,52.35100478471201,43.04925227209094,43.04925227209094,0.7053072919292237,0.7053072919292237,0.7053072919292237,0.666341005952,0.666341005952,0.666341005952,0.0389662859772236,0.0389662859772236,0.0389662859772236,0.0,0.0,0.0,43.75455956402016,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-01-11,43.09382066466096,35.27601263796214,52.88886622077239,43.09382066466096,43.09382066466096,0.5215446778987229,0.5215446778987229,0.5215446778987229,0.6310581140034243,0.6310581140034243,0.6310581140034243,-0.1095134361047012,-0.1095134361047012,-0.1095134361047012,0.0,0.0,0.0,43.61536534255968,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-01-14,43.22752584237102,35.19899502349866,52.94163697421746,43.22752584237102,43.22752584237102,0.4755559313226308,0.4755559313226308,0.4755559313226308,0.8119409621080061,0.8119409621080061,0.8119409621080061,-0.3363850307853753,-0.3363850307853753,-0.3363850307853753,0.0,0.0,0.0,43.70308177369365,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-01-15,43.27209423494104,33.32974630158367,52.49211392138427,43.27209423494104,43.27209423494104,0.3143435312382873,0.3143435312382873,0.3143435312382873,0.6485543575547824,0.6485543575547824,0.6485543575547824,-0.3342108263164953,-0.3342108263164953,-0.3342108263164953,0.0,0.0,0.0,43.58643776617933,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-01-16,43.31666262751106,34.51948843298337,53.42442045229953,43.31666262751106,43.31666262751106,0.4275957820072342,0.4275957820072342,0.4275957820072342,0.7198862168451575,0.7198862168451575,0.7198862168451575,-0.2922904348379231,-0.2922904348379231,-0.2922904348379231,0.0,0.0,0.0,43.744258409518295,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-01-17,43.361231020081085,34.01435402921511,53.009442986677946,43.361231020081085,43.361231020081085,0.455181955872928,0.455181955872928,0.455181955872928,0.6663410059527618,0.6663410059527618,0.6663410059527618,-0.2111590500798336,-0.2111590500798336,-0.2111590500798336,0.0,0.0,0.0,43.816412975954016,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-01-18,43.40579941265111,34.84358968074185,53.0752060532289,43.40579941265111,43.40579941265111,0.5389887978352678,0.5389887978352678,0.5389887978352678,0.6310581140016083,0.6310581140016083,0.6310581140016083,-0.0920693161663405,-0.0920693161663405,-0.0920693161663405,0.0,0.0,0.0,43.94478821048638,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2019-01-22,43.5840729829312,36.284574756990885,54.575249612814495,43.5840729829312,43.5840729829312,1.3628188395990903,1.3628188395990903,1.3628188395990903,0.648554357554094,0.648554357554094,0.648554357554094,0.7142644820449964,0.7142644820449964,0.7142644820449964,0.0,0.0,0.0,44.94689182253029,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
