ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-01-02,118.73405778717041,114.22778523241708,130.13648990325325,118.73405778717041,118.73405778717041,2.8956857829535005,2.8956857829535005,2.8956857829535005,1.9100858255396567,1.9100858255396567,1.9100858255396567,0.9855999574138437,0.9855999574138437,0.9855999574138437,0.0,0.0,0.0,121.62974357012392
2019-01-03,118.81972979708678,113.77717802414429,129.54890804957049,118.81972979708678,118.81972979708678,2.8356983807656513,2.8356983807656513,2.8356983807656513,1.820278107766578,1.820278107766578,1.820278107766578,1.0154202729990744,1.0154202729990744,1.0154202729990744,0.0,0.0,0.0,121.65542817785243
2019-01-04,118.90540180700314,113.88302728891249,129.26570860600768,118.90540180700314,118.90540180700314,2.891864324814528,2.891864324814528,2.891864324814528,1.8373290951284418,1.8373290951284418,1.8373290951284418,1.0545352296860864,1.0545352296860864,1.0545352296860864,0.0,0.0,0.0,121.79726613181768
2019-01-07,119.16241783675223,114.65180709055625,130.26786611164337,119.16241783675223,119.16241783675223,3.149397909407186,3.149397909407186,3.149397909407186,1.9041787991148145,1.9041787991148145,1.9041787991148145,1.2452191102923713,1.2452191102923713,1.2452191102923713,0.0,0.0,0.0,122.31181574615941
2019-01-08,119.2480898466686,115.1812807778846,130.02971019268534,119.2480898466686,119.2480898466686,3.2802336620926997,3.2802336620926997,3.2802336620926997,1.9418177187132768,1.9418177187132768,1.9418177187132768,1.3384159433794232,1.3384159433794232,1.3384159433794232,0.0,0.0,0.0,122.5283235087613
2019-01-09,119.33376185658497,114.55830781635272,130.82349223841578,119.33376185658497,119.33376185658497,3.3586533620962444,3.3586533620962444,3.3586533620962444,1.9100858255395932,1.9100858255395932,1.9100858255395932,1.4485675365566513,1.4485675365566513,1.4485675365566513,0.0,0.0,0.0,122.69241521868122
2019-01-10,119.41943386650134,114.4092152052525,130.9283492695229,119.41943386650134,119.41943386650134,3.3968925705550443,3.3968925705550443,3.3968925705550443,1.8202781077623542,1.8202781077623542,1.8202781077623542,1.5766144627926901,1.5766144627926901,1.5766144627926901,0.0,0.0,0.0,122.81632643705638
2019-01-11,119.5051058764177,114.70601924042751,131.28250942996794,119.5051058764177,119.5051058764177,3.560560372297288,3.560560372297288,3.560560372297288,1.8373290951238603,1.8373290951238603,1.8373290951238603,1.7232312771734277,1.7232312771734277,1.7232312771734277,0.0,0.0,0.0,123.06566624871499
2019-01-14,119.7621219061668,115.90324711209573,131.47256644445372,119.7621219061668,119.7621219061668,4.181013409441509,4.181013409441509,4.181013409441509,1.9041787991194707,1.9041787991194707,1.9041787991194707,2.2768346103220387,2.2768346103220387,2.2768346103220387,0.0,0.0,0.0,123.9431353156083
2019-01-15,119.84779391608316,116.71864783952086,132.5591645412588,119.84779391608316,119.84779391608316,4.440318052489852,4.440318052489852,4.440318052489852,1.9418177187175414,1.9418177187175414,1.9418177187175414,2.4985003337723115,2.4985003337723115,2.4985003337723115,0.0,0.0,0.0,124.28811196857302
2019-01-16,119.93346592599951,116.86794177686387,132.5130321659783,119.93346592599951,119.93346592599951,4.647620673020398,4.647620673020398,4.647620673020398,1.9100858255397044,1.9100858255397044,1.9100858255397044,2.737534847480694,2.737534847480694,2.737534847480694,0.0,0.0,0.0,124.58108659901991
2019-01-17,120.01913793591588,116.86948949791952,132.8986012163852,120.01913793591588,120.01913793591588,4.8130186349344815,4.8130186349344815,4.8130186349344815,1.820278107764197,1.820278107764197,1.820278107764197,2.992740527170284,2.992740527170284,2.992740527170284,0.0,0.0,0.0,124.83215657085036
2019-01-18,120.10480994583224,117.66133257982423,132.92379679988807,120.10480994583224,120.10480994583224,5.099941390305198,5.099941390305198,5.099941390305198,1.8373290951192787,1.8373290951192787,1.8373290951192787,3.262612295185919,3.262612295185919,3.262612295185919,0.0,0.0,0.0,125.20475133613745
2019-01-22,120.44749798549772,118.65448931625875,135.1151006995957,120.44749798549772,120.44749798549772,6.390748255349701,6.390748255349701,6.390748255349701,1.9418177187156758,1.9418177187156758,1.9418177187156758,4.448930536634025,4.448930536634025,4.448930536634025,0.0,0.0,0.0,126.83824624084743
2019-01-23,120.53316999541408,118.88593011034487,134.45808288611505,120.53316999541408,120.53316999541408,6.670271866150487,6.670271866150487,6.670271866150487,1.9100858255396396,1.9100858255396396,1.9100858255396396,4.760186040610847,4.760186040610847,4.760186040610847,0.0,0.0,0.0,127.20344186156457
2019-01-24,120.61884200533044,119.707309157113,135.84076045221633,120.61884200533044,120.61884200533044,6.892124794082662,6.892124794082662,6.892124794082662,1.8202781077633814,1.8202781077633814,1.8202781077633814,5.071846686319281,5.071846686319281,5.071846686319281,0.0,0.0,0.0,127.5109667994131
